img_name,algorithm,Background_px,Background_pct,Buildings_px,Buildings_pct,Woodlands_px,Woodlands_pct,Water_px,Water_pct,Roads_px,Roads_pct,total_px
M-33-20-D-c-4-2.tif,SSFCM,83678,8.37,172888,17.29,374098,37.41,265819,26.58,103517,10.35,1000000
M-33-20-D-c-4-2.tif,GT,205479,20.55,524,0.05,678672,67.87,108961,10.9,6364,0.64,1000000
M-33-20-D-d-3-3.tif,SSFCM,286456,28.65,190004,19.0,251793,25.18,49760,4.98,221987,22.2,1000000
M-33-20-D-d-3-3.tif,GT,590853,59.09,12215,1.22,328406,32.84,42804,4.28,25722,2.57,1000000
M-33-32-B-b-4-4.tif,SSFCM,253409,25.34,219564,21.96,194776,19.48,276760,27.68,55491,5.55,1000000
M-33-32-B-b-4-4.tif,GT,782313,78.23,29,0.0,98621,9.86,106312,10.63,12725,1.27,1000000
M-33-48-A-c-4-4.tif,SSFCM,305718,30.57,163700,16.37,196328,19.63,167210,16.72,167044,16.7,1000000
M-33-48-A-c-4-4.tif,GT,567907,56.79,545,0.05,368488,36.85,56268,5.63,6792,0.68,1000000
M-33-7-A-d-2-3.tif,SSFCM,86183,8.62,182329,18.23,378827,37.88,64046,6.4,288615,28.86,1000000
M-33-7-A-d-2-3.tif,GT,120783,12.08,693,0.07,860377,86.04,18147,1.81,0,0.0,1000000
M-33-7-A-d-3-2.tif,SSFCM,162685,16.27,144383,14.44,344212,34.42,229223,22.92,119497,11.95,1000000
M-33-7-A-d-3-2.tif,GT,353124,35.31,3695,0.37,585681,58.57,37207,3.72,20293,2.03,1000000
M-34-32-B-a-4-3.tif,SSFCM,205877,20.59,162676,16.27,255561,25.56,289957,29.0,85929,8.59,1000000
M-34-32-B-a-4-3.tif,GT,628591,62.86,2176,0.22,160079,16.01,201194,20.12,7960,0.8,1000000
M-34-32-B-b-1-3.tif,SSFCM,225449,22.54,85100,8.51,242177,24.22,267769,26.78,179505,17.95,1000000
M-34-32-B-b-1-3.tif,GT,566970,56.7,2974,0.3,197801,19.78,222875,22.29,9380,0.94,1000000
M-34-5-D-d-4-2.tif,SSFCM,316771,31.68,151242,15.12,132817,13.28,300532,30.05,98638,9.86,1000000
M-34-5-D-d-4-2.tif,GT,882873,88.29,6158,0.62,99497,9.95,2002,0.2,9470,0.95,1000000
M-34-51-C-b-2-1.tif,SSFCM,249096,24.91,202732,20.27,197245,19.72,236314,23.63,114613,11.46,1000000
M-34-51-C-b-2-1.tif,GT,664372,66.44,9619,0.96,282131,28.21,21227,2.12,22651,2.27,1000000
M-34-51-C-d-4-1.tif,SSFCM,161031,16.1,163291,16.33,222927,22.29,277618,27.76,175133,17.51,1000000
M-34-51-C-d-4-1.tif,GT,282710,28.27,14109,1.41,180207,18.02,489961,49.0,33013,3.3,1000000
M-34-55-B-b-4-1.tif,SSFCM,268625,26.86,176251,17.63,252649,25.26,158073,15.81,144402,14.44,1000000
M-34-55-B-b-4-1.tif,GT,703632,70.36,6760,0.68,276749,27.67,202,0.02,12657,1.27,1000000
M-34-56-A-b-1-4.tif,SSFCM,464462,46.45,100571,10.06,141233,14.12,229986,23.0,63748,6.37,1000000
M-34-56-A-b-1-4.tif,GT,921007,92.1,13825,1.38,36311,3.63,12161,1.22,16696,1.67,1000000
M-34-6-A-d-2-2.tif,SSFCM,449327,44.93,51710,5.17,166828,16.68,252145,25.21,79990,8.0,1000000
M-34-6-A-d-2-2.tif,GT,822037,82.2,17578,1.76,130623,13.06,2829,0.28,26933,2.69,1000000
M-34-65-D-a-4-4.tif,SSFCM,130061,13.01,220572,22.06,318959,31.9,228018,22.8,102390,10.24,1000000
M-34-65-D-a-4-4.tif,GT,312394,31.24,2490,0.25,660548,66.05,14703,1.47,9865,0.99,1000000
M-34-65-D-c-4-2.tif,SSFCM,61370,6.14,178940,17.89,436264,43.63,235793,23.58,87633,8.76,1000000
M-34-65-D-c-4-2.tif,GT,97953,9.8,212,0.02,891787,89.18,1489,0.15,8559,0.86,1000000
M-34-65-D-d-4-1.tif,SSFCM,387199,38.72,194573,19.46,99042,9.9,212361,21.24,106825,10.68,1000000
M-34-65-D-d-4-1.tif,GT,822738,82.27,27688,2.77,118755,11.88,9556,0.96,21263,2.13,1000000
M-34-68-B-a-1-3.tif,SSFCM,267968,26.8,218101,21.81,190632,19.06,229487,22.95,93812,9.38,1000000
M-34-68-B-a-1-3.tif,GT,723460,72.35,6949,0.69,256806,25.68,759,0.08,12026,1.2,1000000
M-34-77-B-c-2-3.tif,SSFCM,199907,19.99,193008,19.3,331247,33.12,181868,18.19,93970,9.4,1000000
M-34-77-B-c-2-3.tif,GT,434874,43.49,10794,1.08,531993,53.2,7495,0.75,14844,1.48,1000000
N-33-104-A-c-1-1.tif,SSFCM,144198,14.42,171631,17.16,308348,30.83,293557,29.36,82266,8.23,1000000
N-33-104-A-c-1-1.tif,GT,390655,39.07,1143,0.11,503278,50.33,95156,9.52,9768,0.98,1000000
N-33-119-C-c-3-3.tif,SSFCM,148749,14.87,230396,23.04,292659,29.27,221141,22.11,107055,10.71,1000000
N-33-119-C-c-3-3.tif,GT,350248,35.02,4507,0.45,594071,59.41,39086,3.91,12088,1.21,1000000
N-33-130-A-d-3-3.tif,SSFCM,389596,38.96,116850,11.68,147499,14.75,174130,17.41,171925,17.19,1000000
N-33-130-A-d-3-3.tif,GT,976244,97.62,3359,0.34,7704,0.77,197,0.02,12496,1.25,1000000
N-33-130-A-d-4-4.tif,SSFCM,436168,43.62,142997,14.3,155391,15.54,155603,15.56,109841,10.98,1000000
N-33-130-A-d-4-4.tif,GT,790663,79.07,68843,6.88,71045,7.1,1944,0.19,67505,6.75,1000000
N-33-139-C-d-2-2.tif,SSFCM,206716,20.67,272113,27.21,156311,15.63,233178,23.32,131682,13.17,1000000
N-33-139-C-d-2-2.tif,GT,609181,60.92,5127,0.51,277347,27.73,100494,10.05,7851,0.79,1000000
N-33-139-C-d-2-4.tif,SSFCM,302772,30.28,85855,8.59,192080,19.21,134940,13.49,284353,28.44,1000000
N-33-139-C-d-2-4.tif,GT,878187,87.82,108977,10.9,9823,0.98,3013,0.3,0,0.0,1000000
N-33-139-D-c-1-3.tif,SSFCM,314447,31.44,119374,11.94,143096,14.31,175851,17.59,247232,24.72,1000000
N-33-139-D-c-1-3.tif,GT,762974,76.3,197514,19.75,37704,3.77,1808,0.18,0,0.0,1000000
N-33-60-D-c-4-2.tif,SSFCM,282815,28.28,145970,14.6,222062,22.21,189852,18.99,159301,15.93,1000000
N-33-60-D-c-4-2.tif,GT,641341,64.13,18173,1.82,244605,24.46,76687,7.67,19194,1.92,1000000
N-33-60-D-d-1-2.tif,SSFCM,78518,7.85,169602,16.96,384993,38.5,252002,25.2,114885,11.49,1000000
N-33-60-D-d-1-2.tif,GT,170601,17.06,4181,0.42,600304,60.03,214529,21.45,10385,1.04,1000000
N-33-96-D-d-1-1.tif,SSFCM,39527,3.95,206970,20.7,467267,46.73,232971,23.3,53265,5.33,1000000
N-33-96-D-d-1-1.tif,GT,74560,7.46,166,0.02,767600,76.76,149548,14.95,8126,0.81,1000000
N-34-106-A-b-3-4.tif,SSFCM,133075,13.31,228899,22.89,292217,29.22,234657,23.47,111152,11.12,1000000
N-34-106-A-b-3-4.tif,GT,327043,32.7,229,0.02,668069,66.81,70,0.01,4589,0.46,1000000
N-34-106-A-c-1-3.tif,SSFCM,209089,20.91,209035,20.9,213702,21.37,165645,16.56,202529,20.25,1000000
N-34-106-A-c-1-3.tif,GT,520380,52.04,233666,23.37,238006,23.8,7948,0.79,0,0.0,1000000
N-34-140-A-b-3-2.tif,SSFCM,227718,22.77,204358,20.44,268476,26.85,229669,22.97,69779,6.98,1000000
N-34-140-A-b-3-2.tif,GT,701101,70.11,9438,0.94,275191,27.52,2609,0.26,11661,1.17,1000000
N-34-140-A-b-4-2.tif,SSFCM,216832,21.68,175057,17.51,297553,29.76,250636,25.06,59922,5.99,1000000
N-34-140-A-b-4-2.tif,GT,675423,67.54,7532,0.75,304659,30.47,1247,0.12,11139,1.11,1000000
N-34-140-A-d-3-4.tif,SSFCM,298042,29.8,182516,18.25,204365,20.44,194047,19.4,121030,12.1,1000000
N-34-140-A-d-3-4.tif,GT,677489,67.75,10155,1.02,292814,29.28,2233,0.22,17309,1.73,1000000
N-34-140-A-d-4-2.tif,SSFCM,324746,32.47,179516,17.95,199638,19.96,218263,21.83,77837,7.78,1000000
N-34-140-A-d-4-2.tif,GT,769957,77.0,13193,1.32,174582,17.46,1056,0.11,41212,4.12,1000000
N-34-61-B-a-1-1.tif,SSFCM,218931,21.89,174046,17.4,256764,25.68,231456,23.15,118803,11.88,1000000
N-34-61-B-a-1-1.tif,GT,507745,50.77,30691,3.07,363655,36.37,62501,6.25,35408,3.54,1000000
N-34-66-C-c-4-3.tif,SSFCM,157344,15.73,158200,15.82,252176,25.22,294427,29.44,137853,13.79,1000000
N-34-66-C-c-4-3.tif,GT,365304,36.53,2265,0.23,433443,43.34,192274,19.23,6714,0.67,1000000
N-34-77-A-b-1-4.tif,SSFCM,229533,22.95,177063,17.71,264367,26.44,152377,15.24,176660,17.67,1000000
N-34-77-A-b-1-4.tif,GT,434002,43.4,547,0.05,510279,51.03,48399,4.84,6773,0.68,1000000
N-34-94-A-b-2-4.tif,SSFCM,246294,24.63,215238,21.52,235405,23.54,154981,15.5,148082,14.81,1000000
N-34-94-A-b-2-4.tif,GT,599154,59.92,1236,0.12,385165,38.52,9476,0.95,4969,0.5,1000000
N-34-97-C-b-1-2.tif,SSFCM,361685,36.17,218895,21.89,102891,10.29,171527,17.15,145002,14.5,1000000
N-34-97-C-b-1-2.tif,GT,543138,54.31,115649,11.56,94406,9.44,79764,7.98,167043,16.7,1000000
N-34-97-D-c-2-4.tif,SSFCM,125740,12.57,146076,14.61,404861,40.49,217897,21.79,105426,10.54,1000000
N-34-97-D-c-2-4.tif,GT,236824,23.68,575,0.06,524313,52.43,227368,22.74,10920,1.09,1000000

--- SUMMARY ---
img_name,algorithm,Background_px,Background_pct,Buildings_px,Buildings_pct,Woodlands_px,Woodlands_pct,Water_px,Water_pct,Roads_px,Roads_pct,total_px
MEAN,SSFCM,235556.3,23.56,173226.6,17.32,248530.1,24.85,212964.5,21.3,129722.4,12.97,1000000.0
STD,SSFCM,105061.2,,43570.2,,89175.3,,55966.7,,56696.2,,
MEAN,GT,548446.0,54.84,23809.7,2.38,344429.1,34.44,65208.8,6.52,18106.4,1.81,1000000.0
STD,GT,239745.4,,50395.6,,237326.0,,96669.9,,26644.0,,
